Property, Num Usages, Num Boolean Usages, %Boolean, Known Property, Is Set
multioffice.admin.role.name,0,0,,true,false
mcedt.service.pass,2,0,0,true,false
util.erx.oscarerx_sso_url,0,0,,true,false
vendorBusinessName,3,0,0,true,false
spire_server_hostname,1,0,0,true,false
TIME_FORMAT,1,0,0,true,false
label.1no,0,0,,true,false
PREVENTION_CONFIG_SETS,2,1,50,false,
PREVENTION_ITEMS,2,1,50,false,
spire_server_password,1,0,0,true,false
util.erx.enabled,2,2,100,true,false
billcenter,0,0,,true,false
ALERT_POLL_FREQUENCY,1,0,0,false,
NEW_CONTACTS_UI,2,2,100,true,false
born_eform_ndds24m,1,0,0,true,false
born_eform_ndds12m,1,0,0,true,false
USE_NEW_ECHART,1,0,0,true,true
MEASUREMENT_DS_HTML_DIRECTORY,5,0,0,false,
/oscar_mcmaster.properties,1,0,0,false,
l7_a04_sent_dir,0,0,,true,false
version,3,0,0,true,false
ORN_PILOT,3,3,100,true,false
ldap.authMethod,0,0,,true,false
password_group_special,0,0,,true,false
CONSULTATION_LOCK_REFERRAL_DATE,0,0,,true,true
pmm.refer.temporaryAdmission.enabled,0,0,,true,true
eform_generator_indivica_fax_enabled,0,0,,true,false
ColourClass,1,0,0,false,
util.erx.clinic_username,2,0,0,true,false
BASE_DOCUMENT_DIR,2,0,0,false,
label.left,0,0,,true,false
hcv.logging.skip,1,1,100,true,true
clinic_billing_phone,1,0,0,false,
pathnet_url,1,0,0,false,
db_validationQuery,0,0,,true,false
note_program_ui_enabled,1,1,100,false,
visit_type,0,0,,true,false
mcedt.service.user,3,0,0,true,false
casemgmt.note.password.enabled,0,0,,true,true
born18m_orgcode,2,0,0,true,false
password_pin_min_length,0,0,,true,false
security.token.key,1,0,0,false,
EMERALD_HL7_A04_TRANSPORT_ADDR,1,0,0,false,
oscar.measurements.hl7.defaultProviderNo,1,0,0,false,
ECHART_SIGN_LINE,1,0,0,true,false
referral_no.pattern,1,0,0,true,false
olis_request_url,1,0,0,true,false
appt_intake_form,1,1,100,true,false
eaaps.ws.host,1,0,0,false,
QR_CODE_ERROR_CORRECTION_LEVEL,1,0,0,true,false
DX_QUICK_LIST_DEFAULT,1,0,0,true,false
default_bill_center,0,0,,true,false
born_sftp_username,0,0,,true,false
hsfo2.webServiceURL,1,0,0,false,
DOCS_NEW_ECHART,1,0,0,false,
prenatal_screening_name,0,0,,true,false
email.port,0,0,,true,false
db_username,5,0,0,true,false
OLIS_PROCESSING_ID,1,0,0,true,false
logintitle,0,0,,true,false
useDemoClinicInfoOnInvoice,0,0,,true,true
ORN_PILOT_USER,1,0,0,false,
multioffice.formalize.doctor.maximum.provider.id,0,0,,true,false
